match,state,bill,status,summary,action,year,keep
18%,NJ,A236,Intro,Restructures ticket sales law.,1/10/12,2012,0
35%,NJ,A2258,Engross,Revises law concerning ticket sales.,12/19/13,2013,1
35%,NJ,S875,Intro,Revises law concerning ticket sales.,6/20/13,2013,1
35%,NJ,A2258,Engross,Revises law concerning ticket sales.,12/19/13,2013,0
35%,NJ,S875,Intro,Revises law concerning ticket sales.,6/20/13,2013,0
35%,NJ,S676,Intro,Revises law concerning ticket sales.,1/14/14,2014,1
35%,NJ,A1253,Intro,Revises law concerning ticket sales.,1/16/14,2014,1
26%,NJ,S676,Intro,Revises law concerning ticket sales.,1/14/14,2014,0
26%,NJ,A1253,Intro,Revises law concerning ticket sales.,1/16/14,2014,0
36%,NJ,S52,Intro,Revises law concerning ticket sales.,1/12/16,2016,1
36%,NJ,A1981,Intro,Revises law concerning ticket sales.,1/27/16,2016,1
40%,NJ,S52,Intro,Revises law concerning ticket sales.,1/12/16,2016,0
39%,NJ,A1981,Intro,Revises law concerning ticket sales.,1/27/16,2016,0
26%,NJ,A4259,Pass,Restructures tickets sales law.,8/24/18,2018,1
26%,NJ,S2783,Intro,Restructures tickets sales law.,7/1/18,2018,1
26%,NJ,S1728,Intro,Revises law concerning ticket sales.,2/5/18,2018,1
26%,NJ,A479,Intro,Revises law concerning ticket sales.,1/9/18,2018,1
13%,NJ,A3338,Intro,Limits use of paperless ticketing systems,2/12/18,2018,1
13%,NJ,S926,Intro,Prohibits places of entertainment from contracting with only one ticket issuer under certain circumstances.,1/16/18,2018,1
12%,NJ,A3739,Intro,Prohibits circumventing security measures for certain online ticket sales.,4/5/18,2018,1
40%,NJ,S1728,Intro,Revises law concerning ticket sales.,2/5/18,2018,0
39%,NJ,A479,Intro,Revises law concerning ticket sales.,1/9/18,2018,0
39%,NJ,A4259,Pass,Restructures tickets sales law.,8/24/18,2018,0
39%,NJ,S2783,Intro,Restructures tickets sales law.,7/1/18,2018,0
20%,NJ,A3338,Intro,Limits use of paperless ticketing systems,2/12/18,2018,0
20%,NJ,S926,Intro,Prohibits places of entertainment from contracting with only one ticket issuer under certain circumstances.,1/16/18,2018,0
19%,NJ,A3739,Intro,Prohibits circumventing security measures for certain online ticket sales.,4/5/18,2018,0
20%,NJ,A1511,Intro,Limits use of paperless ticketing systems.,1/14/20,2020,1
19%,NJ,A1513,Intro,Prohibits circumventing security measures for certain online ticket sales.,1/14/20,2020,1
20%,NJ,A1511,Intro,Limits use of paperless ticketing systems.,1/14/20,2020,0
19%,NJ,A1513,Intro,Prohibits circumventing security measures for certain online ticket sales.,1/14/20,2020,0
20%,NJ,A1511,Intro,Limits use of paperless ticketing systems.,1/14/20,2020,0
19%,NJ,A1513,Intro,Prohibits circumventing security measures for certain online ticket sales.,1/14/20,2020,0
26%,NJ,S2801,Intro,Prohibits circumventing security measures for certain online ticket sales.,6/6/22,2022,1
25%,NJ,S3329,Intro,Revises provisions related to selling and reselling of tickets.,11/14/22,2022,1
13%,NJ,A2925,Intro,Limits use of paperless ticketing systems.,2/28/22,2022,1
12%,NJ,A195,Intro,Prohibits circumventing security measures for certain online ticket sales.,1/11/22,2022,1
46%,NJ,AR179,Intro,Urges Congress to respond to consolidation of ticket sale industry.,2/28/23,2023,1
25%,NJ,A5639,Intro,Prohibits sale of tickets not in reseller's possession.,6/20/23,2023,1
